"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Serinc2","6.290e-03","-3.941","1.841","-0.414"
"Tmem63b","6.353e-03","-3.937","0.885","-0.370"
"Prom1","6.421e-03","3.934","0.585","0.399"
"Rnf186","6.494e-03","-3.930","0.670","-0.449"
"Rab24","6.592e-03","3.925","0.382","0.360"
"Arcn1","6.592e-03","-3.925","0.416","-0.265"
"Pgrmc1","6.746e-03","-3.918","0.415","-0.274"
"Necap2","6.760e-03","-3.917","0.464","-0.288"
"Itsn2","6.781e-03","3.915","0.534","0.364"
"Tap2","6.784e-03","-3.914","0.476","-0.324"
"Fam129b","6.803e-03","-3.913","0.855","-0.431"
"Slc9a3r1","6.956e-03","-3.906","1.008","-0.432"
"Casp6","6.970e-03","-3.905","0.418","-0.312"
"Duox2","6.970e-03","3.904","2.406","0.534"
"Tbc1d20","6.975e-03","-3.904","0.352","-0.273"
"Akr1a1","7.023e-03","-3.901","1.627","-0.410"
"Pom121","7.023e-03","-3.900","9.951e-02","-0.129"
"Rbp1","7.157e-03","3.895","0.483","0.470"
"Tmed2","7.259e-03","-3.890","0.448","-0.271"
"Dus3l","7.417e-03","3.884","0.180","0.264"
"Vamp5","7.425e-03","3.882","0.135","0.258"
"Mogat1","7.425e-03","-3.882","0.759","-0.511"
"Irf6","7.425e-03","-3.881","0.460","-0.303"
"Arhgdib","7.544e-03","-3.876","0.163","-0.216"
"Actr3","7.552e-03","-3.875","0.406","-0.262"
"Fhod1","7.604e-03","3.873","0.329","0.331"
"Ifih1","7.648e-03","-3.871","0.695","-0.389"
"Tmem184a","7.721e-03","-3.868","0.531","-0.300"
"Naip1","7.753e-03","3.866","0.139","0.249"
"Fn1","7.808e-03","3.863","0.173","0.222"
"Slf2","7.888e-03","3.859","0.127","0.219"
"Clca1","7.888e-03","-3.859","3.793","-0.970"
"Tjp2","8.166e-03","3.849","1.299","0.439"
"Sgms1","8.171e-03","3.848","0.170","0.259"
"Scnn1a","8.171e-03","-3.848","0.786","-0.361"
"Stat2","8.228e-03","-3.845","0.316","-0.265"
"Exoc6b","8.247e-03","3.844","0.152","0.227"
"Rfx1","8.334e-03","3.840","0.206","0.251"
"Tmed10","8.334e-03","-3.840","0.308","-0.221"
"Pgap1","8.383e-03","3.838","0.622","0.380"
"Bahd1","8.691e-03","-3.827","0.345","-0.270"
"Dppa5a","8.736e-03","3.825","0.295","0.351"
"Capzb","8.767e-03","-3.823","0.933","-0.366"
"Arfgap2","8.836e-03","3.821","0.423","0.308"
"Zfp91","8.870e-03","-3.819","0.234","-0.207"
"Txnrd1","8.922e-03","3.817","1.121","0.483"
"Rab7","9.004e-03","-3.813","0.362","-0.245"
"Themis3","9.004e-03","3.813","0.177","0.287"
"Natd1","9.011e-03","-3.812","0.195","-0.213"
"Pxmp4","9.011e-03","-3.812","7.774e-02","-0.112"
"Ddx47","9.117e-03","3.808","0.217","0.277"
"Atf2","9.155e-03","3.806","0.126","0.251"
"Yipf6","9.155e-03","3.805","0.204","0.251"
"Krt12","9.155e-03","3.805","0.231","0.299"
"Lrrc8e","9.156e-03","-3.804","0.131","-0.134"
"Tppp","9.283e-03","-3.799","0.110","-0.131"
"Psmb9","9.283e-03","-3.799","0.248","-0.257"
"Nupr1","9.302e-03","3.798","1.608","0.894"
"Ecpas","9.322e-03","3.797","0.412","0.314"
"Stard5","9.361e-03","-3.795","0.379","-0.268"
"Samd8","9.709e-03","-3.784","0.745","-0.359"
"Cemip2","9.709e-03","-3.784","0.520","-0.318"
"Golga3","9.747e-03","3.782","0.120","0.207"
"Kri1","9.747e-03","3.781","0.128","0.229"
"Ppfia3","9.758e-03","-3.780","0.138","-0.163"
"Pet100","9.861e-03","-3.777","0.356","-0.228"
"Rhof","1.017e-02","-3.767","0.936","-0.363"
"Hnrnpu","1.017e-02","3.767","0.376","0.310"
"Degs2","1.021e-02","-3.766","1.164","-0.395"
"Mfn2","1.029e-02","-3.763","0.635","-0.346"
"Liph","1.032e-02","3.762","0.670","0.373"
"Unc13b","1.044e-02","3.758","0.114","0.203"
"Stat3","1.051e-02","-3.755","0.454","-0.296"
"Runx2","1.058e-02","3.753","9.915e-02","0.236"
"Gpd1l","1.064e-02","-3.751","0.408","-0.267"
"Muc2","1.068e-02","3.749","6.611e-02","0.157"
"Srsf11","1.080e-02","3.745","0.449","0.318"
"Cyba","1.081e-02","-3.745","0.402","-0.303"
"Nceh1","1.087e-02","-3.742","0.262","-0.221"
"Tmem245","1.093e-02","3.740","0.296","0.311"
"Mtch1","1.096e-02","-3.739","0.752","-0.342"
"Hint1","1.096e-02","-3.738","0.285","-0.221"
"Eif4a2","1.106e-02","3.735","0.657","0.375"
"Ndufb9","1.125e-02","-3.730","0.411","-0.250"
"Atp10b","1.133e-02","3.727","0.716","0.404"
"Mia2","1.140e-02","-3.725","0.447","-0.280"
"Ptp4a2","1.152e-02","3.722","0.518","0.341"
"Tnfrsf11b","1.173e-02","3.716","0.105","0.257"
"Dhx58","1.197e-02","-3.710","0.174","-0.199"
"Rab2a","1.203e-02","-3.708","0.453","-0.264"
"Vti1a","1.214e-02","3.704","0.574","0.367"
"Cab39","1.214e-02","-3.703","1.363","-0.376"
"Slc4a4","1.214e-02","3.703","0.517","0.389"
"Chmp4c","1.225e-02","-3.700","1.099","-0.389"
"Tnf","1.235e-02","3.697","5.249e-02","0.162"
"Epas1","1.252e-02","-3.693","0.263","-0.207"
"Leprot","1.263e-02","-3.690","0.284","-0.213"
"Creb3l3","1.266e-02","-3.689","0.259","-0.216"
"Rnf19a","1.275e-02","3.686","0.308","0.290"
"Cgref1","1.276e-02","-3.686","0.620","-0.328"
"Cnot6","1.285e-02","-3.683","0.219","-0.202"
"Fosl2","1.288e-02","-3.682","1.383","-0.410"
"Cd81","1.313e-02","3.676","0.447","0.416"
"Slc27a4","1.317e-02","-3.674","0.538","-0.319"
"Adcy6","1.317e-02","3.674","0.561","0.379"
"Tmed7","1.327e-02","-3.671","0.452","-0.263"
"Itpr3","1.352e-02","-3.665","1.131","-0.373"
"Fmr1","1.352e-02","3.665","0.374","0.296"
"H1f0","1.367e-02","-3.661","0.734","-0.388"
"Oaz1","1.369e-02","-3.660","0.743","-0.332"
