"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Tcn2","0.581","-2.495","1.408","-0.454"
"Gtpbp4","0.583","-2.493","0.294","-0.225"
"Mylip","0.586","2.491","1.980e-02","7.205e-02"
"Nub1","0.587","-2.489","0.354","-0.241"
"Mob3b","0.587","-2.488","0.647","-0.357"
"Mpzl3","0.588","-2.485","0.198","-0.195"
"Lman2","0.588","-2.485","0.780","-0.364"
"Ogdh","0.588","-2.481","1.984","-0.487"
"Farsa","0.588","-2.481","0.223","-0.183"
"Arsa","0.588","-2.480","0.137","-0.177"
"Kat6b","0.588","-2.480","0.414","-0.278"
"Ctnnd1","0.588","-2.479","1.006","-0.357"
"Abi2","0.588","2.479","1.932e-02","5.859e-02"
"Acat1","0.588","-2.477","1.478","-0.495"
"St3gal1","0.588","-2.477","0.176","-0.170"
"Tm9sf2","0.588","-2.476","0.761","-0.302"
"Stmn1","0.588","-2.476","0.574","-0.342"
"Cnksr1","0.588","-2.476","0.134","-0.162"
"Atrnl1","0.588","-2.475","0.587","-0.338"
"Mucl3","0.588","-2.474","0.883","-0.475"
"Strn","0.588","2.473","0.296","0.295"
"Ccdc124","0.588","-2.473","0.806","-0.363"
"Hsp90b1","0.588","-2.471","1.119","-0.412"
"Rangrf","0.588","-2.471","0.136","-0.143"
"Rab5b","0.588","-2.470","0.953","-0.382"
"Ogg1","0.588","2.469","5.037e-02","0.101"
"Il10rb","0.588","-2.469","0.478","-0.268"
"Ccng2","0.588","-2.469","0.378","-0.285"
"Pld6","0.588","-2.469","0.429","-0.293"
"Tmem238","0.588","-2.465","0.920","-0.363"
"Txnrd2","0.588","-2.464","0.360","-0.253"
"Prune1","0.588","2.464","0.166","0.214"
"Hmbox1","0.588","-2.463","0.208","-0.197"
"Psapl1","0.588","-2.462","0.541","-0.379"
"Aars","0.588","-2.461","0.511","-0.277"
"Slc25a46","0.588","-2.461","0.231","-0.188"
"Ndufs2","0.588","-2.461","1.893","-0.472"
"Fmn1","0.588","-2.460","0.195","-0.198"
"Dnajc30","0.588","-2.458","0.213","-0.189"
"Atp5d","0.588","-2.457","1.913","-0.511"
"N4bp1","0.588","-2.457","0.376","-0.249"
"Sox9","0.588","-2.457","0.467","-0.296"
"Lipe","0.588","-2.457","0.254","-0.202"
"Ints13","0.588","2.457","0.247","0.221"
"Gdi1","0.588","-2.457","0.935","-0.366"
"Prelid3b","0.588","-2.456","0.236","-0.213"
"Rsbn1l","0.588","-2.455","0.213","-0.200"
"Topors","0.588","-2.454","0.126","-0.140"
"Pnpla6","0.588","-2.452","0.376","-0.238"
"Sigmar1","0.588","-2.451","0.319","-0.273"
"Ift74","0.588","2.450","5.004e-02","0.118"
"Phgr1","0.588","-2.450","6.816e-02","-9.397e-02"
"Sft2d2","0.588","-2.450","0.743","-0.347"
"Rap2c","0.588","-2.450","0.169","-0.191"
"Zmat5","0.588","-2.448","0.256","-0.230"
"Ino80c","0.588","-2.447","8.649e-02","-0.119"
