"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Chuk","1","2.282","0.392","0.310"
"Ift140","1","-2.282","6.586e-02","-0.119"
"Nupl2","1","-2.281","0.121","-0.180"
"Morf4l1","1","2.280","0.978","0.409"
"Ddhd1","1","-2.278","0.333","-0.263"
"Dsg2","1","-2.278","0.512","-0.325"
"Zfp91","1","-2.278","0.148","-0.160"
"Lrmda","1","2.276","0.194","0.242"
"Fam168a","1","-2.275","0.132","-0.173"
"Pot1a","1","-2.275","6.446e-02","-0.117"
"Sec16a","1","-2.275","0.745","-0.375"
"C77080","1","-2.272","0.664","-0.374"
"Cfl1","1","-2.269","0.388","-0.290"
"Ahctf1","1","-2.268","0.152","-0.185"
"Brms1","1","2.268","0.422","0.332"
"Lpar2","1","-2.267","0.122","-0.160"
"Tcp1","1","-2.265","0.280","-0.227"
"Nfkbib","1","-2.264","0.103","-0.150"
"Akap13","1","2.264","0.478","0.324"
"Jak1","1","-2.262","0.128","-0.152"
"Rnf148","1","-2.262","0.144","-0.195"
"Cebpg","1","-2.260","0.234","-0.228"
"Klhl15","1","2.259","0.101","0.160"
"Orc4","1","-2.259","0.296","-0.247"
"Oas2","1","-2.258","6.984e-02","-0.127"
"Phf2","1","-2.256","0.200","-0.211"
"Bhlhe40","1","-2.255","0.455","-0.330"
"Rbbp4","1","2.254","0.475","0.327"
"Emc2","1","-2.254","0.154","-0.182"
"Trmt112","1","-2.254","0.198","-0.217"
"Aoc2","1","-2.252","0.135","-0.190"
"Ccdc22","1","2.250","0.146","0.170"
"Asxl2","1","-2.249","0.405","-0.306"
"Zcrb1","1","-2.248","0.259","-0.223"
"S100a13","1","-2.247","0.304","-0.249"
"Ydjc","1","-2.246","7.250e-02","-0.104"
"Stk24","1","-2.246","0.396","-0.282"
"Timm22","1","-2.245","8.311e-02","-0.122"
"Arl8a","1","-2.245","0.291","-0.256"
"Coq8b","1","-2.243","0.165","-0.196"
"Ube2z","1","-2.242","0.204","-0.224"
"Puf60","1","-2.241","0.497","-0.304"
"Il3ra","1","2.240","0.115","0.189"
"Ubl4a","1","-2.239","0.199","-0.214"
"Calcoco1","1","2.238","0.137","0.167"
"Telo2","1","2.237","0.182","0.233"
"Kdelr3","1","-2.236","0.317","-0.261"
"Igflr1","1","-2.235","0.271","-0.253"
"Pias3","1","2.233","0.351","0.298"
"Gemin5","1","2.232","0.138","0.191"
"Sorl1","1","-2.231","0.431","-0.279"
"Nufip1","1","2.231","8.052e-02","0.144"
"Rnf31","1","-2.231","0.278","-0.262"
"Hipk3","1","-2.230","0.182","-0.188"
"Skil","1","-2.230","0.522","-0.321"
"Zbtb39","1","-2.227","0.156","-0.185"
"Gstm4","1","2.227","6.851e-02","0.118"
"Itga3","1","-2.226","0.469","-0.331"
"Ptprk","1","-2.226","0.227","-0.213"
