"cluster","ncells","Colour","ord","shortName","realname"
"194","Neuroendocrine cells_18",1088.26737029961,"#b2df8a",2,"Neuroendocrine cells","Neuroendocrine cells"
"195","Neuroendocrine cells_2",1,"#64a841",2,"Neuroendocrine cells","Neuroendocrine cells"
"196","Neuroendocrine cells_15",1137.19401472479,"#e31a1c",2,"Neuroendocrine cells","Neuroendocrine cells"
"197","Neuroendocrine cells_10",1,"#ffff99",2,"Neuroendocrine cells","Neuroendocrine cells"
"198","Neuroendocrine cells_21",1,NA,2,"Neuroendocrine cells","Neuroendocrine cells"
"199","Neuroendocrine cells_11",1,"#6a3d9a",2,"Neuroendocrine cells","Neuroendocrine cells"
"200","Neuroendocrine cells_19",2078.1011343242,"#1f78b4",2,"Neuroendocrine cells","Neuroendocrine cells"
"201","Neuroendocrine cells_4",1,"#de8e06",2,"Neuroendocrine cells","Neuroendocrine cells"
"202","Neuroendocrine cells_8",1,"#7ba39d",2,"Neuroendocrine cells","Neuroendocrine cells"
"203","PDE1C_ACSM3 positive cells_10",1,"#ffff99",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"204","PDE1C_ACSM3 positive cells_1",885.907072969939,"#92bbb8",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"205","PDE1C_ACSM3 positive cells_6",1,"#b5aa0f",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"206","PDE1C_ACSM3 positive cells_13",421.458427053504,"#ff7f00",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"207","PDE1C_ACSM3 positive cells_7",1,"#e4b680",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"208","PDE1C_ACSM3 positive cells_21",48.3837855372392,NA,2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"209","PDE1C_ACSM3 positive cells_8",575.142885166986,"#7ba39d",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"210","PDE1C_ACSM3 positive cells_16",148.108067465675,"#fb9a99",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"211","PDE1C_ACSM3 positive cells_18",1,"#b2df8a",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"212","PDE1C_ACSM3 positive cells_12",1,"#cab2d6",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"213","PDE1C_ACSM3 positive cells_3",1,"#e5486e",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"214","PDE1C_ACSM3 positive cells_14",110.586811828577,"#fdbf6f",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"215","PDE1C_ACSM3 positive cells_2",689.000472699206,"#64a841",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"216","PDE1C_ACSM3 positive cells_17",138.457470480402,"#33a02c",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"217","PDE1C_ACSM3 positive cells_9",1,"#b15928",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"218","PDE1C_ACSM3 positive cells_20",170.562376898095,"#a6cee3",2,"PDE1C_ACSM3 positive cells","PDE1C_ACSM3 positive cells"
"219","MUC13_DMBT1 positive cells_2",1,"#64a841",2,"MUC13_DMBT1 positive cells","MUC13_DMBT1 positive cells"
"220","MUC13_DMBT1 positive cells_5",7581.6103208197,"#eccf5a",2,"MUC13_DMBT1 positive cells","MUC13_DMBT1 positive cells"
"221","MUC13_DMBT1 positive cells_18",68.9580500815776,"#b2df8a",2,"MUC13_DMBT1 positive cells","MUC13_DMBT1 positive cells"
"222","MUC13_DMBT1 positive cells_6",1,"#b5aa0f",2,"MUC13_DMBT1 positive cells","MUC13_DMBT1 positive cells"
"223","MUC13_DMBT1 positive cells_9",27.384735033009,"#b15928",2,"MUC13_DMBT1 positive cells","MUC13_DMBT1 positive cells"
"224","MUC13_DMBT1 positive cells_21",99.1092620990894,NA,2,"MUC13_DMBT1 positive cells","MUC13_DMBT1 positive cells"
"225","MUC13_DMBT1 positive cells_16",1,"#fb9a99",2,"MUC13_DMBT1 positive cells","MUC13_DMBT1 positive cells"
"226","MUC13_DMBT1 positive cells_17",94.0045961075537,"#33a02c",2,"MUC13_DMBT1 positive cells","MUC13_DMBT1 positive cells"
"227","MUC13_DMBT1 positive cells_7",1072.9161716486,"#e4b680",2,"MUC13_DMBT1 positive cells","MUC13_DMBT1 positive cells"
"228","MUC13_DMBT1 positive cells_8",1,"#7ba39d",2,"MUC13_DMBT1 positive cells","MUC13_DMBT1 positive cells"
"229","cluster 3",3139,"#f1f1ef",1,"cluster 3","cluster 3"
"230","cluster 14",1586,"#f1f1ef",1,"cluster 14","cluster 14"
"231","cluster 4",3131,"#f1f1ef",1,"cluster 4","cluster 4"
"232","cluster 0",4220,"#f1f1ef",1,"cluster 0","cluster 0"
"233","cluster 9",2301,"#f1f1ef",1,"cluster 9","cluster 9"
"234","cluster 6",2758,"#f1f1ef",1,"cluster 6","cluster 6"
"235","cluster 13",1629,"#f1f1ef",1,"cluster 13","cluster 13"
"236","cluster 7",2493,"#f1f1ef",1,"cluster 7","cluster 7"
"237","cluster 2",3253,"#f1f1ef",1,"cluster 2","cluster 2"
"238","cluster 1",3400,"#f1f1ef",1,"cluster 1","cluster 1"
"239","cluster 8",2416,"#f1f1ef",1,"cluster 8","cluster 8"
"240","cluster 11",2069,"#f1f1ef",1,"cluster 11","cluster 11"
"241","cluster 16",1235,"#f1f1ef",1,"cluster 16","cluster 16"
"242","cluster 17",705,"#f1f1ef",1,"cluster 17","cluster 17"
"243","cluster 12",1906,"#f1f1ef",1,"cluster 12","cluster 12"
"244","cluster 19",453,"#f1f1ef",1,"cluster 19","cluster 19"
"245","cluster 10",2112,"#f1f1ef",1,"cluster 10","cluster 10"
"246","cluster 20",341,"#f1f1ef",1,"cluster 20","cluster 20"
"247","cluster 5",2906,"#f1f1ef",1,"cluster 5","cluster 5"
"248","cluster 15",1529,"#f1f1ef",1,"cluster 15","cluster 15"
"249","cluster 18",515,"#f1f1ef",1,"cluster 18","cluster 18"
"250","cluster 21",121,"#f1f1ef",1,"cluster 21","cluster 21"
