"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Decr2",NA,"0.285","2.819","0.982"
"Nme4",NA,"0.966","1.513","2.641"
"Axin1",NA,"0.199","2.323","0.324"
"Arhgdig",NA,"7.461e-02","10.762","6.811e-02"
"Fam234a",NA,"-0.701","8.759","-0.697"
"Luc7l",NA,"-1.105","7.202","-1.281"
"Neurl1b",NA,"0.373","1.188","1.172"
"Dusp1",NA,"-0.400","6.205","-1.655"
"Ergic1",NA,"-0.621","4.219","-0.776"
"Atp6v0e",NA,"-0.486","5.167","-0.553"
"Crebrf",NA,"-0.349","0.973","-1.168"
"Bnip1",NA,"6.971e-02","1.108","0.237"
"Phf1",NA,"-0.653","2.891","-0.960"
"Cuta",NA,"-0.500","5.847","-0.549"
"Syngap1",NA,"0.584","2.120","1.062"
"Zbtb9",NA,"-0.219","0.234","-1.076"
"Ggnbp1",NA,"0.270","3.034","0.364"
"Bak1",NA,"9.745e-02","3.918","0.125"
"Itpr3",NA,"-0.961","8.114","-1.017"
"Uqcc2",NA,"7.622e-02","1.717","0.165"
"Lemd2",NA,"0.247","10.236","0.232"
"AI413582",NA,"0.506","0.756","2.164"
"Ilrun",NA,"-0.603","7.705","-0.657"
"Snrpc",NA,"8.499e-02","2.440","0.134"
"Uhrf1bp1",NA,"-0.648","1.385","-1.726"
"Taf11",NA,"0.155","2.043","0.287"
"Anks1",NA,"-0.960","2.297","-1.732"
"Tcp11",NA,"-0.382","0.530","-1.861"
"Scube3",NA,"0.272","0.268","1.332"
"Zfp523",NA,"0.179","2.428","0.290"
"Def6",NA,"9.061e-02","0.385","0.441"
"Ppard",NA,"-0.176","4.684","-0.203"
"Fance",NA,"0.382","1.957","0.782"
"Tead3",NA,"-0.702","3.912","-0.891"
"Fkbp5",NA,"-0.408","2.038","-0.776"
"Lhfpl5",NA,"1.736","1.605","4.679"
"Srpk1",NA,"-0.846","7.246","-0.882"
"Mapk14",NA,"0.965","8.104","0.952"
"Brpf3",NA,"-0.916","3.524","-1.237"
"Kctd20",NA,"0.383","1.585","0.900"
"Srsf3",NA,"0.226","0.594","1.061"
"Rab44",NA,"0.787","2.519","1.260"
"Ppil1",NA,"0.405","2.427","0.675"
"Pi16",NA,"-1.481","3.175","-2.313"
"Mtch1",NA,"-1.462","10.830","-1.376"
"Fgd2",NA,"0.390","0.815","1.599"
"Pim1",NA,"-0.504","5.346","-0.571"
"Tbc1d22b",NA,"-0.176","3.696","-0.222"
"Rnf8",NA,"0.955","4.366","1.209"
"Cmtr1",NA,"-0.864","3.362","-1.181"
"Ccdc167",NA,"1.341","2.863","2.108"
"Mdga1",NA,"-9.030e-02","0.680","-0.373"
"Zfand3",NA,"0.106","7.452","0.107"
"Btbd9",NA,"0.202","1.807","0.443"
"Glo1",NA,"-0.796","3.245","-1.103"
"Dnah8",NA,"0.701","0.698","3.429"
"Glp1r",NA,"1.985","8.669","2.136"
"Abcg1",NA,"0.566","1.646","1.269"
"Tff3",NA,"3.088","4.512","4.414"
"Tmprss3",NA,"0.515","0.209","2.551"
"Slc37a1",NA,"3.975e-03","10.137","3.772e-03"
"Pde9a",NA,"-3.598e-02","2.013","-6.860e-02"
"Wdr4",NA,"-0.316","2.142","-0.583"
"Pknox1",NA,"-0.165","0.176","-0.811"
"Cbs",NA,"-0.309","0.912","-1.165"
"U2af1",NA,"-0.848","5.445","-0.967"
"Sik1",NA,"-0.388","4.269","-0.457"
"Notch3",NA,"-4.846e-02","1.225","-0.153"
"Brd4",NA,"-0.162","8.884","-0.152"
"Akap8l",NA,"-0.106","5.414","-0.123"
"Wiz",NA,"-0.127","3.460","-0.164"
"Rasal3",NA,"0.584","1.409","1.519"
"Pglyrp2",NA,"0.163","0.326","0.795"
"Cyp4f39",NA,"0.506","0.756","2.164"
"Cyp4f16",NA,"0.177","0.652","0.794"
"Cyp4f40",NA,"0.401","0.477","1.952"
"Zfp871",NA,"0.410","3.095","0.548"
"Zfp811",NA,"-0.165","0.176","-0.811"
"Zfp799",NA,"0.888","1.430","2.422"
"Zfp870",NA,"1.681","1.873","3.674"
"Cyp4f13",NA,"0.138","1.215","0.400"
"Zfp472",NA,"1.092","1.738","2.577"
"Zfp952",NA,"0.401","0.477","1.952"
