"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Med17","1.000","0.128","4.222","0.167"
"Taf1d","1.000","1.710","33.553","1.185"
"Cep295","1.000","-0.180","5.690","-0.203"
"Smco4","1.000","0.208","0.747","0.886"
"Deup1","1.000","-0.304","0.241","-1.516"
"Slc36a4","1.000","-0.236","1.229","-0.647"
"Mtnr1b","1.000","-0.304","0.241","-1.516"
"Chordc1","1.000","-0.810","5.690","-0.919"
"Zfp558","1.000","-4.406e-02","0.458","-0.219"
"Olfr24","1.000","-0.304","0.241","-1.516"
"Olfr828","1.000","-0.304","0.241","-1.516"
"Olfr829","1.000","-0.304","0.241","-1.516"
"Olfr843","1.000","-0.304","0.241","-1.516"
"Zfp317","1.000","0.768","4.466","1.014"
"Olfr862","1.000","-0.304","0.241","-1.516"
"Zfp560","1.000","0.797","0.870","3.236"
"Zfp26","1.000","-0.187","4.725","-0.242"
"Zfp426","1.000","0.106","1.617","0.238"
"Zfp266","1.000","-0.349","5.398","-0.402"
"Zfp846","1.000","0.448","2.100","0.861"
"Fbxl12","1.000","-0.881","3.084","-1.466"
"Ubl5","1.000","-0.703","0.770","-3.142"
"Pin1","1.000","0.985","5.138","1.272"
"Ppan","1.000","-0.533","12.326","-0.487"
"Eif3g","1.000","0.963","19.388","0.818"
"Dnmt1","1.000","-1.947","16.598","-1.655"
"S1pr2","1.000","-0.183","0.771","-0.828"
"Icam1","1.000","-0.661","1.639","-1.593"
"Icam4","1.000","-0.317","0.264","-1.583"
"Icam5","1.000","0.255","0.194","1.271"
"Zglp1","1.000","-0.677","0.746","-3.101"
"Fdx2","1.000","0.323","7.450","0.317"
"Tyk2","1.000","-0.796","4.049","-1.092"
"Cdc37","1.000","-1.664","10.912","-1.536"
"Pde4a","1.000","9.190e-02","1.640","0.206"
"Keap1","1.000","0.332","5.626","0.405"
"Atg4d","1.000","-0.973","7.134","-0.999"
"Kri1","1.000","1.584","18.728","1.164"
"Cdkn2d","1.000","0.850","4.080","1.167"
"Ap1m2","1.000","-2.726e-02","6.652","-2.895e-02"
"Slc44a2","1.000","-1.109","13.790","-0.890"
"Ilf3","1.000","-0.285","4.319","-0.383"
"Qtrt1","1.000","0.115","7.402","0.112"
"Dnm2","1.000","0.600","13.290","0.474"
"Tmed1","1.000","-0.262","0.699","-1.171"
"AB124611","1.000","-0.505","0.482","-2.475"
"Carm1","1.000","0.294","5.235","0.365"
"Yipf2","1.000","-0.611","2.193","-1.148"
"Smarca4","1.000","-0.411","12.128","-0.361"
"Ldlr","1.000","0.753","10.306","0.665"
"Spc24","1.000","-1.447","13.662","-1.238"
"Kank2","1.000","0.547","0.581","2.667"
"Dock6","1.000","-0.357","3.541","-0.534"
"Angptl8","1.000","0.255","0.194","1.271"
"Rab3d","1.000","1.067","11.305","1.080"
"Tmem205","1.000","0.378","3.350","0.612"
"Ccdc159","1.000","-0.317","0.264","-1.583"
"Plppr2","1.000","-0.518","0.505","-2.536"
"Swsap1","1.000","0.485","0.483","2.374"
"Epor","1.000","-0.304","0.241","-1.516"
"Rgl3","1.000","0.721","5.089","0.873"
"Ccdc151","1.000","-0.304","0.241","-1.516"
"Prkcsh","1.000","-0.147","9.233","-0.133"
"Zfp653","1.000","-0.616","2.578","-1.121"
