"Gene Symbol","Adjusted P-Value","t Statistic","Average Expression","log2 Fold Change"
"Dlgap1","1.000","-0.111","0.792","-0.329"
"Tgif1","1.000","-0.661","4.932","-1.029"
"Myl12b","1.000","0.338","9.829","0.390"
"Myl12a","1.000","2.631e-02","16.459","2.701e-02"
"Myom1","1.000","0.201","0.453","0.806"
"Lpin2","1.000","-0.420","5.315","-0.655"
"Emilin2","1.000","-0.666","3.853","-1.122"
"Smchd1","1.000","-0.570","5.676","-0.842"
"Ndc80","1.000","0.118","0.169","0.576"
"Spdya","1.000","0.166","0.171","0.809"
"Wdr43","1.000","2.933e-02","3.298","5.133e-02"
"Clip4","1.000","0.329","5.627e-02","1.621"
"Ypel5","1.000","0.773","15.464","0.825"
"Lbh","1.000","-0.391","72.347","-0.329"
"Lclat1","1.000","-0.458","6.698","-0.635"
"Capn13","1.000","-0.991","1.632","-2.765"
"Ehd3","1.000","0.203","0.113","0.992"
"Xdh","1.000","-0.225","3.975","-0.371"
"Memo1","1.000","0.220","4.263","0.353"
"Dpy30","1.000","0.245","11.850","0.268"
"Spast","1.000","0.283","9.807","0.334"
"Slc30a6","1.000","-0.560","1.986","-1.182"
"Nlrc4","1.000","0.106","0.567","0.356"
"Yipf4","1.000","-0.546","14.579","-0.572"
"Birc6","1.000","-0.694","9.935","-0.862"
"Ttc27","1.000","-0.147","0.847","-0.464"
"Ltbp1","1.000","5.839e-03","0.682","1.827e-02"
"Rasgrp3","1.000","-0.652","8.621","-0.846"
"Fam98a","1.000","-0.609","6.931","-0.850"
"Crim1","1.000","-1.091","8.730","-1.433"
"Fez2","1.000","0.146","11.054","0.165"
"Vit","1.000","0.203","0.113","0.992"
"Strn","1.000","0.903","11.670","1.025"
"Heatr5b","1.000","0.348","3.302","0.606"
"Gpatch11","1.000","1.610","16.660","1.701"
"Eif2ak2","1.000","-0.236","5.378","-0.353"
"Cebpzos","1.000","-0.330","9.381","-0.417"
"Cebpz","1.000","-0.673","3.347","-1.185"
"Ndufaf7","1.000","-0.751","3.009","-1.387"
"Prkd3","1.000","-0.248","1.418","-0.585"
"Qpct","1.000","0.532","0.228","2.597"
"Cdc42ep3","1.000","-0.201","1.363","-0.482"
"Rmdn2","1.000","-0.361","2.554","-0.692"
"Cyp1b1","1.000","8.739e-02","0.566","0.321"
"Atl2","1.000","0.105","5.800","0.150"
"Hnrnpll","1.000","-0.631","6.510","-0.895"
"Galm","1.000","-9.537e-02","6.464","-0.129"
"Srsf7","1.000","-3.925e-02","27.240","-3.460e-02"
"Gemin6","1.000","0.266","0.397","1.126"
"Dhx57","1.000","1.133","5.090","1.917"
"Morn2","1.000","-0.591","3.121","-1.062"
"Arhgef33","1.000","0.266","0.397","1.126"
"Sos1","1.000","-0.266","2.389","-0.534"
"Cdkl4","1.000","5.431e-02","0.227","0.264"
"Map4k3","1.000","-0.456","26.439","-0.410"
"Tmem178","1.000","-0.533","3.454","-0.942"
"Thumpd2","1.000","0.146","1.252","0.362"
"Slc8a1","1.000","-0.411","0.680","-1.398"
"Pkdcc","1.000","0.175","4.472","0.279"
"Eml4","1.000","-0.181","3.406","-0.314"
"Cox7a2l","1.000","-0.165","31.714","-0.153"
"Kcng3","1.000","0.203","0.113","0.992"
"Mta3","1.000","0.109","13.338","0.116"
"Zfp36l2","1.000","-0.326","15.872","-0.331"
"Thada","1.000","0.201","2.159","0.412"
"Plekhh2","1.000","0.532","0.228","2.597"
"Dync2li1","1.000","-0.205","1.820","-0.448"
"Lrpprc","1.000","-0.573","11.701","-0.679"
"Ppm1b","1.000","0.310","18.557","0.298"
"Prepl","1.000","-0.281","4.598","-0.442"
"Camkmt","1.000","-0.143","0.396","-0.603"
"Six2","1.000","0.329","5.627e-02","1.621"
"Srbd1","1.000","1.712","5.951","2.548"
"Prkce","1.000","0.267","3.966","0.444"
"Epas1","1.000","-0.251","5.437","-0.373"
"Rhoq","1.000","0.405","1.880","0.866"
"Pigf","1.000","-0.506","8.853","-0.646"
"Cript","1.000","0.378","12.504","0.408"
"Socs5","1.000","0.149","3.015","0.268"
"Mcfd2","1.000","0.330","19.560","0.314"
"Ttc7","1.000","-0.249","40.186","-0.228"
